2019-12-19 14:43:06,857 [Worker-50] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/log4j/log4j/1.2.5/log4j-1.2.5.pom
2019-12-19 14:43:06,998 [Worker-50] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/log4j/log4j/1.2.5/log4j-1.2.5.pom
2019-12-19 14:43:07,229 [Worker-50] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/log4j/log4j/1.2.5/log4j-1.2.5.jar
2019-12-19 14:43:07,972 [Worker-50] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/log4j/log4j/1.2.5/log4j-1.2.5.jar
2019-12-19 14:43:08,237 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-12-19 14:43:08,256 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-12-19 14:43:08,258 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-12-19 14:43:08,264 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-12-19 14:43:09,611 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-12-19 14:43:09,618 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2019-12-19 14:43:09,628 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-12-19 14:43:09,634 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2019-12-19 14:43:13,651 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-12-19 14:43:13,660 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2019-12-19 14:43:13,664 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-12-19 14:43:13,670 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2019-12-19 14:43:18,763 [Worker-50] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2019-12-19 14:43:19,159 [Worker-50] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.resson:Ramas_Dashboard_Test:0.0.1-SNAPSHOT @ F:\Automation_Projects\Ramas_Dashboard_Test\pom.xml.
2019-12-19 14:43:19,500 [Worker-50] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Ramas_Dashboard_Test/src/main/java
2019-12-19 14:43:19,500 [Worker-50] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Ramas_Dashboard_Test/src/main/resources
2019-12-19 14:43:19,501 [Worker-50] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Ramas_Dashboard_Test/src/test/java
2019-12-19 14:43:19,501 [Worker-50] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Ramas_Dashboard_Test/src/test/resources
2019-12-19 14:43:19,639 [Worker-50] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2019-12-19 14:43:20,015 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
